gebaeude_id,region,gebaeudetyp,wohnflaeche_m2,baujahr,renovierungsjahr,anzahl_personen,isolationsstandard,fenster_typ,heizungsart,avg_innentemp_c,heizgradtage,warmwasseranteil,lueftungsanlage,eta_heizung,pv_kwp,smart_meter,jahresenergieverbrauch_kwh,verbrauch_kwh_pro_m2,effizienzklasse
1,sued,einfamilienhaus,198.3,1966,,2,2,alt,gas,19.5,2969,0.27,1,0.81,0.0,0,27475,138.54,C
2,nord,halle,241.4,1983,1999.0,4,1,zweifach,fernwaerme,18.0,3510,0.281,0,0.97,9.33,1,35936,148.84,C
3,west,mehrfamilienhaus,183.0,2014,2025.0,5,2,zweifach,waermepumpe,19.8,2910,0.198,0,3.23,0.0,0,11872,64.88,B
4,west,mehrfamilienhaus,171.2,1962,,2,1,dreifach,gas,22.7,3181,0.157,1,0.83,6.41,0,15129,88.39,B
5,ost,mehrfamilienhaus,255.2,2011,,4,3,dreifach,oel,20.3,2623,0.137,0,0.86,0.0,0,17065,66.88,B
6,west,mehrfamilienhaus,177.9,1971,1982.0,3,2,dreifach,oel,19.8,3238,0.204,0,0.78,0.0,1,11516,64.75,B
7,sued,mehrfamilienhaus,213.3,1993,2020.0,3,2,zweifach,waermepumpe,18.0,3456,0.183,1,3.37,0.0,0,10903,51.11,B
8,west,einfamilienhaus,204.1,1988,2022.0,1,2,zweifach,gas,19.4,2667,0.189,0,0.94,4.95,0,13950,68.34,B
9,west,einfamilienhaus,255.1,2001,,6,2,dreifach,fernwaerme,21.1,2646,0.113,0,0.96,0.0,1,14788,57.98,B
10,nord,mehrfamilienhaus,158.2,2012,,2,3,zweifach,gas,21.1,3766,0.182,0,0.96,9.95,0,13509,85.39,B
11,west,einfamilienhaus,294.5,1976,,6,1,dreifach,fernwaerme,19.7,2640,0.237,0,0.95,10.34,0,22934,77.87,B
12,ost,mehrfamilienhaus,140.9,1962,,2,1,zweifach,waermepumpe,19.8,3394,0.221,1,2.46,0.0,1,13036,92.53,B
13,west,einfamilienhaus,219.5,1981,2011.0,3,1,dreifach,fernwaerme,22.7,3119,0.159,1,0.81,0.0,1,19970,90.97,B
14,west,einfamilienhaus,208.2,1995,,5,2,alt,fernwaerme,23.7,2954,0.175,1,0.98,0.0,0,24571,118.03,C
15,west,mehrfamilienhaus,135.3,2006,,3,3,dreifach,gas,21.9,3613,0.107,0,0.89,0.0,0,8364,61.82,B
16,west,einfamilienhaus,227.7,2006,2025.0,4,2,zweifach,gas,22.4,3425,0.147,1,0.86,0.57,1,23671,103.94,C
17,west,halle,163.6,1975,1987.0,4,1,alt,waermepumpe,20.6,3198,0.163,0,2.86,,0,18021,110.17,C
18,ost,halle,116.1,2020,2025.0,2,3,zweifach,gas,21.2,2347,0.212,0,0.87,0.52,1,9177,79.01,B
19,ost,einfamilienhaus,240.7,1956,1968.0,4,1,dreifach,waermepumpe,20.1,3349,0.145,1,3.03,4.94,0,23655,98.28,B
20,nord,einfamilienhaus,97.8,1958,1973.0,1,2,zweifach,fernwaerme,19.4,2975,0.128,1,0.87,0.0,0,9988,102.14,C
21,west,einfamilienhaus,125.6,1951,,3,2,alt,waermepumpe,,3023,0.218,0,3.37,0.0,1,11628,92.6,B
22,sued,buero,182.0,2019,,2,3,zweifach,gas,19.3,2953,0.159,0,0.91,0.0,0,16015,87.97,B
23,sued,einfamilienhaus,254.3,1963,1995.0,6,1,zweifach,fernwaerme,19.3,3614,0.138,0,0.93,0.0,0,28170,110.78,C
24,nord,schule,234.1,1995,1996.0,4,3,alt,gas,19.7,3261,0.221,0,0.87,9.1,0,20972,89.6,B
25,sued,halle,196.9,2010,2010.0,3,3,dreifach,waermepumpe,18.3,2452,0.203,0,3.09,4.69,1,11863,60.24,B
26,ost,einfamilienhaus,84.8,2007,,2,2,zweifach,waermepumpe,18.1,3614,0.17,0,3.46,0.0,0,9458,111.58,C
27,west,mehrfamilienhaus,138.1,2021,2025.0,2,3,zweifach,fernwaerme,18.8,3354,0.162,0,0.92,0.0,0,7881,57.09,B
28,west,einfamilienhaus,151.6,1954,,2,2,zweifach,waermepumpe,19.8,3367,0.199,0,3.19,0.0,0,13505,89.09,B
29,sued,mehrfamilienhaus,113.8,1980,1995.0,2,3,zweifach,gas,19.1,3471,0.207,1,0.84,0.0,0,10353,90.97,B
30,west,einfamilienhaus,75.8,1987,1987.0,2,2,dreifach,fernwaerme,21.8,3703,0.19,0,0.88,0.0,0,6327,83.51,B
31,nord,mehrfamilienhaus,185.9,2002,,2,2,dreifach,waermepumpe,20.5,3038,0.186,0,2.42,0.0,1,10571,56.86,B
32,nord,einfamilienhaus,237.4,1996,,4,1,alt,gas,21.2,2863,0.15,0,0.79,0.0,1,32290,136.03,C
33,sued,buero,146.4,1991,2025.0,2,2,dreifach,pellet,21.1,3245,0.153,0,0.92,0.0,1,10588,72.34,B
34,sued,einfamilienhaus,252.8,1973,2007.0,5,2,alt,waermepumpe,20.3,2858,0.171,1,2.41,0.0,0,23662,93.59,B
35,nord,mehrfamilienhaus,92.8,1957,,1,1,dreifach,pellet,21.7,3290,0.132,0,0.85,0.0,0,6475,69.76,B
36,nord,schule,110.8,1982,2013.0,4,2,zweifach,waermepumpe,21.4,2957,0.126,1,2.94,0.0,0,8799,79.39,B
37,sued,mehrfamilienhaus,184.2,1969,,3,1,dreifach,gas,20.1,3154,0.176,0,0.92,7.7,0,14446,78.42,B
38,nord,mehrfamilienhaus,141.0,1991,2024.0,2,2,zweifach,fernwaerme,18.5,3491,0.229,0,0.99,0.0,1,11397,80.86,B
39,ost,einfamilienhaus,228.7,2009,,4,3,zweifach,gas,21.1,3046,0.076,0,0.96,0.0,0,18912,82.7,B
40,sued,einfamilienhaus,212.3,1991,2015.0,2,3,alt,waermepumpe,19.0,2464,0.16,0,3.8,0.0,0,14176,66.77,B
41,west,einfamilienhaus,145.4,1993,,1,2,dreifach,gas,21.0,3523,0.194,0,0.84,0.0,1,11864,81.62,B
42,ost,schule,96.6,1953,1977.0,1,1,zweifach,waermepumpe,21.0,3189,0.234,0,3.17,0.0,1,9195,95.2,B
43,nord,einfamilienhaus,138.1,1998,,4,2,zweifach,gas,18.9,3741,0.27,0,0.81,0.0,1,16239,117.57,C
44,nord,einfamilienhaus,214.6,1982,1986.0,4,2,zweifach,gas,20.8,2614,0.167,0,0.9,4.78,0,16806,78.33,B
45,nord,buero,232.7,1959,1996.0,3,1,dreifach,gas,20.7,3370,0.279,0,0.96,0.0,1,16935,72.78,B
46,west,einfamilienhaus,141.2,1966,,4,1,zweifach,waermepumpe,20.7,2849,0.203,0,3.65,0.0,0,14272,101.06,C
47,ost,buero,75.6,2008,,3,2,alt,gas,20.7,3113,0.221,0,0.86,4.95,0,8684,114.88,C
48,nord,einfamilienhaus,90.7,2018,2025.0,3,1,dreifach,gas,19.7,3680,0.127,0,0.93,0.0,0,8200,90.46,B
49,west,einfamilienhaus,207.0,1988,2018.0,2,3,zweifach,gas,21.2,3229,0.203,0,,0.0,1,18471,89.25,B
50,west,mehrfamilienhaus,144.3,2023,2025.0,2,3,dreifach,gas,19.7,3106,0.225,0,0.88,,0,5557,38.51,A
51,nord,mehrfamilienhaus,145.8,1963,1966.0,5,1,alt,pellet,19.2,3354,0.146,0,0.84,5.79,1,17294,118.59,C
52,ost,schule,110.1,1972,2010.0,2,1,dreifach,fernwaerme,21.7,2554,0.05,0,0.88,5.1,0,7254,65.92,B
53,west,einfamilienhaus,109.2,2019,2025.0,1,2,dreifach,gas,21.6,2783,0.187,0,0.84,0.0,1,7230,66.24,B
